days,pop_chronic,pop_chronic_flow,pop_2nd,pop_2nd_flow,pop_3rd,pop_3rd_flow,pop,pop_flow,pop9_flow,pop9,pop8_flow,pop8,pop7_flow,pop7,pop6_flow,pop6,pop5_flow,pop5,pop4_flow,pop4,pop3_flow,pop3,pop2_flow,pop2,pop1_flow,pop1
0,0.2,0,0.001,0,0.001,0,0.001,0,0,0.001,0,0.001,0,0.001,0,0.001,0,0.001,0,0.001,0,0.001,0,0.001,0,0.001
0.166166166,0.2,6.06E-21,0.001,2.94E-12,0.001,2.94E-12,0.001022423,3.13E-12,2.94E-12,0.001,2.94E-12,0.001,2.94E-12,0.001,2.94E-12,0.001,2.94E-12,0.001,2.94E-12,0.001,2.94E-12,0.001,2.94E-12,0.001,2.94E-12,0.001
0.332332332,0.2,1.06E-12,0.001,3.75E-10,0.001,3.75E-10,0.001180331,3.96E-10,3.75E-10,0.001,3.75E-10,0.001,3.75E-10,0.001,3.75E-10,0.001,3.75E-10,0.001,3.75E-10,0.001,3.75E-10,0.001,3.75E-10,0.001,3.75E-10,0.001
0.498498498,0.2,4.56E-09,0.001,2.2E-07,0.001,2.2E-07,0.001462793,2.93E-07,2.2E-07,0.001,2.2E-07,0.001,2.2E-07,0.001,2.2E-07,0.001,2.2E-07,0.001,2.2E-07,0.001,2.2E-07,0.001,2.2E-07,0.001,2.2E-07,0.001
0.664664665,0.2,4.92E-07,0.001,1.01E-06,0.001,1.01E-06,0.001878656,1.3E-06,1.01E-06,0.001,1.01E-06,0.001,1.01E-06,0.001,1.01E-06,0.001,1.01E-06,0.001,1.01E-06,0.001,1.01E-06,0.001,1.01E-06,0.001,1.01E-06,0.001
0.830830831,0.2,1.14E-05,0.001,2.59E-06,0.001,2.59E-06,0.002453023,3.05E-06,2.59E-06,0.001,2.59E-06,0.001,2.59E-06,0.001,2.59E-06,0.001,2.59E-06,0.001,2.59E-06,0.001,2.59E-06,0.001,2.59E-06,0.001,2.59E-06,0.001
0.996996997,0.2,9.4E-05,0.001,6.28E-06,0.001,6.28E-06,0.00322677,6.88E-06,6.28E-06,0.001,6.28E-06,0.001,6.28E-06,0.001,6.28E-06,0.001,6.28E-06,0.001,6.28E-06,0.001,6.28E-06,0.001,6.28E-06,0.001,6.28E-06,0.001
1.163163163,0.2,0.000429349,0.001,2.02E-05,0.001,2.02E-05,0.00425838,1.41E-05,2.02E-05,0.001,2.02E-05,0.001,2.02E-05,0.001,2.02E-05,0.001,2.02E-05,0.001,2.02E-05,0.001,2.02E-05,0.001,2.02E-05,0.001,2.02E-05,0.001
1.329329329,0.2,0.001359874,0.001,3.82E-05,0.001,3.82E-05,0.005627729,2.65E-05,3.82E-05,0.001,3.82E-05,0.001,3.82E-05,0.001,3.82E-05,0.001,3.82E-05,0.001,3.82E-05,0.001,3.82E-05,0.001,3.82E-05,0.001,3.82E-05,0.001
1.495495495,0.2,0.003291106,0.001,5.63E-05,0.001,5.63E-05,0.007441932,4.55E-05,5.63E-05,0.001,5.63E-05,0.001,5.63E-05,0.001,5.63E-05,0.001,5.63E-05,0.001,5.63E-05,0.001,5.63E-05,0.001,5.63E-05,0.001,5.63E-05,0.001
1.661661662,0.2,0.006570983,0.001,7.45E-05,0.001,7.45E-05,0.009843523,7.33E-05,7.45E-05,0.001,7.45E-05,0.001,7.45E-05,0.001,7.45E-05,0.001,7.45E-05,0.001,7.45E-05,0.001,7.45E-05,0.001,7.45E-05,0.001,7.45E-05,0.001
1.827827828,0.2,0.011367032,0.001,9.3E-05,0.001,9.3E-05,0.013021475,0.000112743,9.3E-05,0.001,9.3E-05,0.001,9.3E-05,0.001,9.3E-05,0.001,9.3E-05,0.001,9.3E-05,0.001,9.3E-05,0.001,9.3E-05,0.001,9.3E-05,0.001
1.993993994,0.2,0.017609009,0.001,0.000119925,0.001,0.000119925,0.017225982,0.000166819,0.000119925,0.001,0.000119925,0.001,0.000119925,0.001,0.000119925,0.001,0.000119925,0.001,0.000119925,0.001,0.000119925,0.001,0.000119925,0.001,0.000119925,0.001
2.16016016,0.2,0.025129287,0.001,0.000148803,0.001,0.000148803,0.022788055,0.000238734,0.000148803,0.001,0.000148803,0.001,0.000148803,0.001,0.000148803,0.001,0.000148803,0.001,0.000148803,0.001,0.000148803,0.001,0.000148803,0.001,0.000148803,0.001
2.326326326,0.2,0.033539087,0.001,0.000177926,0.001,0.000177926,0.030145426,0.00033317,0.000177926,0.001,0.000177926,0.001,0.000177926,0.001,0.000177926,0.001,0.000177926,0.001,0.000177926,0.001,0.000177926,0.001,0.000177926,0.001,0.000177926,0.001
2.492492492,0.2,0.04242131,0.001,0.000207296,0.001,0.000207296,0.039876735,0.000456283,0.000207296,0.001,0.000207296,0.001,0.000207296,0.001,0.000207296,0.001,0.000207296,0.001,0.000207296,0.001,0.000207296,0.001,0.000207296,0.001,0.000207296,0.001
2.658658659,0.2,0.051529153,0.001,0.000236915,0.001,0.000236915,0.052746654,0.000615797,0.000236915,0.001,0.000236915,0.001,0.000236915,0.001,0.000236915,0.001,0.000236915,0.001,0.000236915,0.001,0.000236915,0.001,0.000236915,0.001,0.000236915,0.001
2.824824825,0.2,0.060488133,0.001,0.000266859,0.001,0.000266859,0.069765256,0.000822314,0.000266859,0.001,0.000266859,0.001,0.000266859,0.001,0.000266859,0.001,0.000266859,0.001,0.000266859,0.001,0.000266859,0.001,0.000266859,0.001,0.000266859,0.001
2.990990991,0.2,0.069036117,0.001,0.00029706,0.001,0.00029706,0.092266053,0.001090331,0.00029706,0.001,0.00029706,0.001,0.00029706,0.001,0.00029706,0.001,0.00029706,0.001,0.00029706,0.001,0.00029706,0.001,0.00029706,0.001,0.00029706,0.001
3.157157157,0.2,0.077180278,0.001,0.000327515,0.001,0.000327515,0.122008346,0.001436415,0.000327515,0.001,0.000327515,0.001,0.000327515,0.001,0.000327515,0.001,0.000327515,0.001,0.000327515,0.001,0.000327515,0.001,0.000327515,0.001,0.000327515,0.001
3.323323323,0.2,0.084558917,0.001,0.000358224,0.001,0.000358224,0.161311004,0.001888074,0.000358224,0.001,0.000358224,0.001,0.000358224,0.001,0.000358224,0.001,0.000358224,0.001,0.000358224,0.001,0.000358224,0.001,0.000358224,0.001,0.000358224,0.001
3.489489489,0.2,0.091316192,0.001,0.000388266,0.001,0.000388266,0.213226718,0.00247946,0.000388266,0.001,0.000388266,0.001,0.000388266,0.001,0.000388266,0.001,0.000388266,0.001,0.000388266,0.001,0.000388266,0.001,0.000388266,0.001,0.000388266,0.001
